__v,_id,buyOrders,buyPrice,buyVolume,id,name,sellOrders,sellPrice,sellVolume
0,614ba236afe1ed4d9d5c0d3d,150,2975.9959390862946,56561,ENCHANTED_HARD_STONE,Enchanted Hard Stone,65,2790.710000277631,571293
0,614ba236afe1ed4d9d5c0d52,32,499999.09705882345,896,REFINED_DIAMOND,Refined Diamond,65,124285.11214304922,809940
0,614ba236afe1ed4d9d5c0d6e,182,1242.2216820340877,157124,ENCHANTED_COBBLESTONE,Enchanted Cobblestone,199,1200.870028824643,1637698
0,614ba236afe1ed4d9d5c0d81,22,499988.14333333337,609,TIGHTLY_TIED_HAY_BALE,Tightly Tied Hay Bale,18,492946.9,910
0,614ba236afe1ed4d9d5c0d95,16,61494,2983,ENCHANTED_HUGE_MUSHROOM_2,Enchanted Huge Mushroom 2,173,35358.01721249048,47118
0,614ba236afe1ed4d9d5c0daa,81,13.1,903479,PORK,Pork,28,11.099999999999998,1228206
0,614ba236afe1ed4d9d5c0dbe,85,5.355829304574192,2942366,PRISMARINE_CRYSTALS,Prismarine Crystals,60,4.900923378086391,3642115
0,614ba237afe1ed4d9d5c0dd1,123,8.871196866466223,978774,ICE,Ice,42,6.243920029646804,2406237
0,614ba237afe1ed4d9d5c0df2,37,20995.6,26681,TIGER_SHARK_TOOTH,Tiger Shark Tooth,49,15029.934200385356,50076
0,614ba237afe1ed4d9d5c0e0a,123,44.84383269312846,100289,HUGE_MUSHROOM_1,Huge Mushroom 1,43,44.7,568806
0,614ba237afe1ed4d9d5c0e1e,104,46.066283936044634,362003,ICE_BAIT,Ice Bait,13,33,594128
0,614ba237afe1ed4d9d5c0e32,51,69.07881950646899,147552,HUGE_MUSHROOM_2,Huge Mushroom 2,15,52.211624789336604,660887
0,614ba237afe1ed4d9d5c0e48,41,2.3,964001,LOG_2:1,Log 2:1,20,1.4754201360295238,667281
0,614ba237afe1ed4d9d5c0e5c,198,596.227504178273,795282,ENCHANTED_SNOW_BLOCK,Enchanted Snow Block,73,590.1543524416136,642490
0,614ba237afe1ed4d9d5c0e71,184,7.243315132605304,773482,STRING,String,18,4.811557732991871,820793
0,614ba237afe1ed4d9d5c0e8f,78,105699.49285262491,10214,GOLDEN_TOOTH,Golden Tooth,38,98095.12829153606,61980
0,614ba237afe1ed4d9d5c0ea6,52,151690.9,9502,HYPER_CATALYST,Hyper Catalyst,35,140716.5277601523,116093
0,614ba237afe1ed4d9d5c0ebc,27,9.86875,46855,RABBIT_FOOT,Rabbit Foot,25,9,1086780
0,614ba237afe1ed4d9d5c0ed2,85,1.7607715727454682,1471647,REDSTONE,Redstone,66,0.9,3562543
