__v,_id,name,networth.rank,networth.total,uuid
0,61adced00d4bb82fdd825184,7si,133,20377353337.82601,ae24093c7462435f82b347dbc953e83b
0,61ade3220d4bb82fdd8c7d72,BigHero6,115,21780632844.641323,b1d027c1e8b346178b682b410a2a399b
0,61ae2a350d4bb82fddb0b14e,SleepyAmy,21,41072331739.83124,6f34fab4b6fe4522b215fa01ae68f412
0,61ae91f20d4bb82fdde15080,Ben_MC,110,22158308331.82116,b2cb2dcc507f416a804b23f592d151e0
0,61aecb280d4bb82fddfc80f0,Greenyy_,48,28764277428.155655,bf37313f5ef246ae817281393362158c
0,61aeec2e0d4bb82fdd0bc15e,Crushingez,136,20183754681.896,d599e108baa245a5b3215a2af2415c1f
0,61aef02e0d4bb82fdd0d66ae,ImJoyful,71,25665869280.37313,c2dba3846e614b89b70611e0981e144e
0,61aefa350d4bb82fdd11dccb,DeathStreeks,11,55587153587.720215,fb3d96498a5b4d5b91b763db14b195ad
0,61af058c0d4bb82fdd16cf88,Osis,129,20625378641.03568,a60177bdda7048fabc8232151314dcf6
0,61af0b6e0d4bb82fdd197af3,Loeffelasche8,138,20088774272.25837,830dbbb0955942908e79c7a76e2bdd4f
